Dist No,District name,Average Salary 23-24,Impact Measure,Impact Value
001,ADAIR ,56572.35,School Climate,45
005,ALLEN ,58546.96,School Climate,41
006,ANCHORAGE,81282.49,School Climate,76
011,ANDERSON ,58451.95,School Climate,49
012,ASHLAND,56241.45,School Climate,66
013,AUGUSTA,55779.79,School Climate,80
015,BALLARD ,57308.89,School Climate,68
016,BARBOURVILLE,55957.51,School Climate,81
017,BARDSTOWN,69103.89,School Climate,65
021,BARREN ,61690.39,School Climate,69
025,BATH ,53509.56,School Climate,56
026,BEECHWOOD,65443.89,School Climate,75
031,BELL ,56385.76,School Climate,70
032,BELLEVUE,61490.69,School Climate,50
034,BEREA,62453.16,School Climate,56
035,BOONE ,66526.38,School Climate,61
041,BOURBON ,57106.12,School Climate,59
042,BOWLING GREEN,61376.15,School Climate,69
045,BOYD ,60135.12,School Climate,66
051,BOYLE ,62925.34,School Climate,70
055,BRACKEN ,55834.65,School Climate,53
061,BREATHITT ,57608.95,School Climate,75
065,BRECKINRIDGE ,59751.11,School Climate,68
071,BULLITT ,65462.26,School Climate,60
072,BURGIN,58859.93,School Climate,71
075,BUTLER ,58009.65,School Climate,67
081,CALDWELL ,58124.08,School Climate,72
085,CALLOWAY ,60505.8,School Climate,75
091,CAMPBELL ,64016.82,School Climate,60
092,CAMPBELLSVILLE,58217.64,School Climate,63
095,CARLISLE ,54517.97,School Climate,63
101,CARROLL ,61747.49,School Climate,51
105,CARTER ,57834.14,School Climate,79
111,CASEY ,55405.28,School Climate,60
113,CAVERNA,60412.1,School Climate,46
115,CHRISTIAN ,53351.72,School Climate,63
121,CLARK ,57213.3,School Climate,63
125,CLAY ,55436.83,School Climate,70
131,CLINTON ,54423.98,School Climate,39
132,CLOVERPORT,50823.64,School Climate,48
133,RBIN,61271.17,School Climate,79
134,VINGTON,60668.52,School Climate,59
135,CRITTENDEN ,56042.02,School Climate,57
141,CUMBERLAND ,55934.83,School Climate,47
143,DANVILLE,60523.11,School Climate,63
145,DAVIESS ,62673.99,School Climate,66
146,DAWSON SPGS,54456.02,School Climate,82
147,DAYTON,65067.13,School Climate,73
149,E BERNSTADT,60289.49,School Climate,76
151,EDMONSON ,53753.59,School Climate,81
152,ELIZABETHTOWN,61402.57,School Climate,56
155,ELLIOTT ,51092.88,School Climate,64
156,EMINENCE,53070.07,School Climate,73
157,ERLANGER,65076.99,School Climate,68
161,ESTILL ,56432.35,School Climate,61
162,FAIRVIEW,56723.67,School Climate,73
165,FAYETTE ,75735.12,School Climate,63
171,FLEMING ,53798.2,School Climate,58
175,FLOYD ,55825.19,School Climate,66
176,FT THOMAS,72662.72,School Climate,80
177,FRANKFORT,56272.32,School Climate,52
181,FRANKLIN ,60698.2,School Climate,68
185,FULTON ,53242.71,School Climate,58
191,GALLATIN ,59054.83,School Climate,46
195,GARRARD ,55517.21,School Climate,61
197,GLASGOW,63350.95,School Climate,66
201,GRANT ,53209.63,School Climate,49
205,GRAVES ,57594.36,School Climate,63
211,GRAYSON ,55735.08,School Climate,60
215,GREEN ,55894.84,School Climate,63
221,GREENUP ,53997.78,School Climate,74
225,HANCK ,63159.13,School Climate,72
231,HARDIN ,61133.53,School Climate,64
235,HARLAN ,53959.52,School Climate,71
236,HARLAN,53713.06,School Climate,60
241,HARRISON ,59390.47,School Climate,58
245,HART ,56398.54,School Climate,79
246,HAZARD,56948.11,School Climate,90
251,HENDERSON ,59957.33,School Climate,70
255,HENRY ,57382.47,School Climate,74
261,HICKMAN ,54861.85,School Climate,78
265,HOPKINS ,55589.92,School Climate,77
271,JACKSON ,54695.85,School Climate,67
272,JACKSON,58647.85,School Climate,88
275,JEFFERSON ,79020.21,School Climate,56
276,JENKINS,54786.19,School Climate,68
281,JESSAMINE ,64027.29,School Climate,64
285,JOHNSON ,57739.66,School Climate,81
291,KENTON ,66243.62,School Climate,63
295,KNOTT ,58005.78,School Climate,64
301,KNOX ,54425.9,School Climate,68
305,LARUE ,61748.05,School Climate,59
311,LAUREL ,59836.63,School Climate,69
315,LAWRENCE ,53074.18,School Climate,71
325,LESLIE ,54677.19,School Climate,84
331,LETCHER ,57800.19,School Climate,70
335,LEWIS ,55279.72,School Climate,72
341,LINLN ,55023.11,School Climate,61
345,LIVINGSTON ,60098.16,School Climate,57
351,LOGAN ,54721.49,School Climate,75
354,LUDLOW,66556.19,School Climate,65
361,LYON ,60145.27,School Climate,70
365,MADISON ,59636.48,School Climate,67
371,MAGOFFIN ,54306.53,School Climate,65
375,MARION ,63777.07,School Climate,71
381,MARSHALL ,62783.46,School Climate,69
385,MARTIN ,56109.37,School Climate,76
391,MASON ,60133.37,School Climate,54
392,MAYFIELD,59814.52,School Climate,59
395,MCCRACKEN ,62949.79,School Climate,62
401,MCCREARY ,54436.76,School Climate,54
405,MCLEAN ,56281.21,School Climate,71
411,MEADE ,61642.99,School Climate,70
415,MENIFEE ,55723.46,School Climate,43
421,MERCER ,62402.03,School Climate,57
425,METCALFE ,57669.62,School Climate,42
426,MIDDLESBORO,56036.44,School Climate,55
431,MONROE ,58535.98,School Climate,86
435,MONTGOMERY ,56357.44,School Climate,60
441,MORGAN ,56060.32,School Climate,75
445,MUHLENBERG ,59076.82,School Climate,63
446,MURRAY,60985.54,School Climate,80
451,NELSON ,61028.7,School Climate,63
452,NEWPORT,64794.17,School Climate,48
455,NICHOLAS ,53656.16,School Climate,58
461,OHIO ,57231.55,School Climate,65
465,OLDHAM ,58292.78,School Climate,73
471,OWEN ,55645.36,School Climate,47
472,OWENSBORO,62302.0,School Climate,63
475,OWSLEY ,59120.58,School Climate,51
476,PADUCAH,64048.69,School Climate,46
477,PAINTSVILLE,61438.69,School Climate,70
478,PARIS,57965.27,School Climate,54
481,PENDLETON ,59417.1,School Climate,47
485,PERRY ,59355.16,School Climate,73
491,PIKE ,56130.6,School Climate,76
492,PIKEVILLE,68340.5,School Climate,72
495,POWELL ,56051.3,School Climate,64
501,PULASKI ,54912.32,School Climate,72
502,RACELAND,59070.2,School Climate,66
505,ROBERTSON ,54949.19,School Climate,47
511,ROCKCASTLE ,56018.9,School Climate,56
515,ROWAN ,55220.04,School Climate,53
521,RUSSELL ,55834.57,School Climate,63
522,RUSSELL,62925.14,School Climate,68
523,RUSSELLVILLE,52722.92,School Climate,37
524,SCIENCE HILL,59214.44,School Climate,56
525,SCOTT,58763.22,School Climate,69
531,SHELBY ,60476.75,School Climate,62
535,SIMPSON ,61703.46,School Climate,62
536,SOMERSET,59147.32,School Climate,68
537,SOUTHGATE,55674.9,School Climate,75
541,SPENCER ,62282.13,School Climate,76
545,TAYLOR ,57631.08,School Climate,59
551,TODD ,53237.8,School Climate,61
555,TRIGG ,57312.64,School Climate,68
561,TRIMBLE ,54994.35,School Climate,56
565,UNION ,55875.91,School Climate,62
567,WALTON VERONA,62505.41,School Climate,79
571,WARREN ,58892.91,School Climate,68
575,WASHINGTON ,64346.29,School Climate,73
581,WAYNE ,54160.67,School Climate,51
585,WEBSTER ,53748.45,School Climate,69
591,WHITLEY ,58899.08,School Climate,75
593,WILLIAMSTOWN,55892.89,School Climate,67
595,WOLFE ,60554.68,School Climate,85
601,WOODFORD ,61145.86,School Climate,67
